Status,Max Seats,Seats Available,WL Available,CRN,Course,Title,Credit Hours,Instructor,Materials,Book Title and Edition,Author,ISBN,Copyright Year,Publisher
On Campus,30,13,0,83610,"=""CGN 3323C""",Surveying and Geomatics,3,"Johnson, A.",Required Material,Surveying: Prin & Appl Edition: 9th,Kavanagh,9780137009404,2014,Pearson
Closed,50,0,0,80725,"=""CGS 1100""",Computer Software & Technology,3,"Spence, D.",Required Material,"Cengage Unlimited, Multi-term (24 months), 1st Edition Edition: 1st",Cengage Unlimited,9780357700020,,Cengage Learning
Closed,50,0,0,80725,"=""CGS 1100""",Computer Software & Technology,3,"Spence, D.",Unclassified Material,"Cengage Unlimited, Multi-term (12 months) Edition: N/A",Cengage,9780357700013,,Cengage Learning
Closed,50,0,0,80725,"=""CGS 1100""",Computer Software & Technology,3,"Spence, D.",Unclassified Material,"Cengage Unlimited, 1 term (4 months), 1st Edition Edition: N/A",Cengage Unlimited,9780357700006,,Cengage Learning
On Campus,50,2,0,80726,"=""CGS 1100""",Computer Software & Technology,3,"Hoyt, E.",Required Material,"Cengage Unlimited, 1 term (4 months), 1st Edition Edition: N/A",Cengage Unlimited,9780357700006,,Cengage Learning
On Campus,50,2,0,80726,"=""CGS 1100""",Computer Software & Technology,3,"Hoyt, E.",Unclassified Material,"Cengage Unlimited, Multi-term (12 months) Edition: N/A",Cengage,9780357700013,,Cengage Learning
On Campus,50,2,0,80726,"=""CGS 1100""",Computer Software & Technology,3,"Hoyt, E.",Unclassified Material,"Cengage Unlimited, Multi-term (24 months), 1st Edition Edition: 1st",Cengage Unlimited,9780357700020,,Cengage Learning
Closed,40,0,0,80731,"=""CGS 1100""",Computer Software & Technology,3,"Dhar, P.",Required Material,"Cengage Unlimited, Multi-term (24 months), 1st Edition Edition: 1st",Cengage Unlimited,9780357700020,,Cengage Learning
Closed,40,0,0,80731,"=""CGS 1100""",Computer Software & Technology,3,"Dhar, P.",Unclassified Material,"Cengage Unlimited, Multi-term (12 months) Edition: N/A",Cengage,9780357700013,,Cengage Learning
Closed,40,0,0,80731,"=""CGS 1100""",Computer Software & Technology,3,"Dhar, P.",Unclassified Material,"Cengage Unlimited, 1 term (4 months), 1st Edition Edition: N/A",Cengage Unlimited,9780357700006,,Cengage Learning
Closed,50,0,0,80721,"=""CGS 1100""",Computer Software & Technology,3,"Hoyt, E.",Required Material,"Cengage Unlimited, 1 term (4 months), 1st Edition Edition: N/A",Cengage Unlimited,9780357700006,,Cengage Learning
Closed,50,0,0,80721,"=""CGS 1100""",Computer Software & Technology,3,"Hoyt, E.",Unclassified Material,"Cengage Unlimited, Multi-term (24 months), 1st Edition Edition: 1st",Cengage Unlimited,9780357700020,,Cengage Learning
Closed,50,0,0,80721,"=""CGS 1100""",Computer Software & Technology,3,"Hoyt, E.",Unclassified Material,"Cengage Unlimited, Multi-term (12 months) Edition: N/A",Cengage,9780357700013,,Cengage Learning
Closed,50,0,0,80740,"=""CGS 1100""",Computer Software & Technology,3,"Khattapan, C.",Required Material,"Cengage Unlimited, Multi-term (12 months) Edition: N/A",Cengage,9780357700013,,Cengage Learning
Closed,50,0,0,80740,"=""CGS 1100""",Computer Software & Technology,3,"Khattapan, C.",Unclassified Material,"Cengage Unlimited, Multi-term (24 months), 1st Edition Edition: 1st",Cengage Unlimited,9780357700020,,Cengage Learning
Closed,50,0,0,80740,"=""CGS 1100""",Computer Software & Technology,3,"Khattapan, C.",Unclassified Material,"Cengage Unlimited, 1 term (4 months), 1st Edition Edition: N/A",Cengage Unlimited,9780357700006,,Cengage Learning
On Campus,50,1,0,80741,"=""CGS 1100""",Computer Software & Technology,3,"Sandifer, II, W.",Required Material,"Cengage Unlimited, 1 term (4 months), 1st Edition Edition: N/A",Cengage Unlimited,9780357700006,,Cengage Learning
On Campus,50,1,0,80741,"=""CGS 1100""",Computer Software & Technology,3,"Sandifer, II, W.",Unclassified Material,"Cengage Unlimited, Multi-term (12 months) Edition: N/A",Cengage,9780357700013,,Cengage Learning
On Campus,50,1,0,80741,"=""CGS 1100""",Computer Software & Technology,3,"Sandifer, II, W.",Unclassified Material,"Cengage Unlimited, Multi-term (24 months), 1st Edition Edition: 1st",Cengage Unlimited,9780357700020,,Cengage Learning
Closed,50,0,0,80716,"=""CGS 1100""",Computer Software & Technology,3,"Khattapan, C.",Required Material,"Cengage Unlimited, Multi-term (24 months), 1st Edition Edition: 1st",Cengage Unlimited,9780357700020,,Cengage Learning
Closed,50,0,0,80716,"=""CGS 1100""",Computer Software & Technology,3,"Khattapan, C.",Unclassified Material,"Cengage Unlimited, Multi-term (12 months) Edition: N/A",Cengage,9780357700013,,Cengage Learning
Closed,50,0,0,80716,"=""CGS 1100""",Computer Software & Technology,3,"Khattapan, C.",Unclassified Material,"Cengage Unlimited, 1 term (4 months), 1st Edition Edition: N/A",Cengage Unlimited,9780357700006,,Cengage Learning
Closed,50,0,0,80719,"=""CGS 1100""",Computer Software & Technology,3,"Hoyt, E.",Required Material,"Cengage Unlimited, Multi-term (24 months), 1st Edition Edition: 1st",Cengage Unlimited,9780357700020,,Cengage Learning
Closed,50,0,0,80719,"=""CGS 1100""",Computer Software & Technology,3,"Hoyt, E.",Unclassified Material,"Cengage Unlimited, Multi-term (12 months) Edition: N/A",Cengage,9780357700013,,Cengage Learning
Closed,50,0,0,80719,"=""CGS 1100""",Computer Software & Technology,3,"Hoyt, E.",Unclassified Material,"Cengage Unlimited, 1 term (4 months), 1st Edition Edition: N/A",Cengage Unlimited,9780357700006,,Cengage Learning
On Campus,50,2,0,80724,"=""CGS 1100""",Computer Software & Technology,3,"Spence, D.",Required Material,"Cengage Unlimited, 1 term (4 months), 1st Edition Edition: N/A",Cengage Unlimited,9780357700006,,Cengage Learning
On Campus,50,2,0,80724,"=""CGS 1100""",Computer Software & Technology,3,"Spence, D.",Unclassified Material,"Cengage Unlimited, Multi-term (12 months) Edition: N/A",Cengage,9780357700013,,Cengage Learning
On Campus,50,2,0,80724,"=""CGS 1100""",Computer Software & Technology,3,"Spence, D.",Unclassified Material,"Cengage Unlimited, Multi-term (24 months), 1st Edition Edition: 1st",Cengage Unlimited,9780357700020,,Cengage Learning
Closed,40,0,0,80735,"=""CGS 1100""",Computer Software & Technology,3,"Hanwacker, L.",Required Material,"Cengage Unlimited, 1 term (4 months), 1st Edition Edition: N/A",Cengage Unlimited,9780357700006,,Cengage Learning
Closed,40,0,0,80735,"=""CGS 1100""",Computer Software & Technology,3,"Hanwacker, L.",Unclassified Material,"Cengage Unlimited, Multi-term (12 months) Edition: N/A",Cengage,9780357700013,,Cengage Learning
Closed,40,0,0,80735,"=""CGS 1100""",Computer Software & Technology,3,"Hanwacker, L.",Unclassified Material,"Cengage Unlimited, Multi-term (24 months), 1st Edition Edition: 1st",Cengage Unlimited,9780357700020,,Cengage Learning
Closed,48,-1,0,82650,"=""CHM 1020""",Chemistry in Society,3,"Kakareka, J.",Required Material,CHEM 2 (w/Access Card) Edition: N/A,Hogg,9781133962984,2015,Cengage Learning
On Campus,96,2,0,81406,"=""CHM 1045""",General Chemistry I,3,"Campbell, R.",Required Material,Chemistry Structure & Properties (PKG)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323140697,2016,Pearson Learning Solutions
On Campus,96,2,0,81406,"=""CHM 1045""",General Chemistry I,3,"Campbell, R.",Recommended Material,Chemistry (MstrgChem Access)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323146217,2016,Pearson Learning Solutions
On Campus,96,2,0,81406,"=""CHM 1045""",General Chemistry I,3,"Campbell, R.",Unclassified Material,Preparing for Your ACS Exam in General Chemistry: Guide Edition: N/A,Eubanks,9780970804204,1998,American Chemical Society Exam Institute
On Campus,96,9,0,81407,"=""CHM 1045""",General Chemistry I,3,"Davies, K.",Required Material,Chemistry: Structure & Properties Edition: N/A,Tro,9780321834683,2015,Pearson
On Campus,96,9,0,81407,"=""CHM 1045""",General Chemistry I,3,"Davies, K.",Recommended Material,Chemistry (MstrgChem Access)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323146217,2016,Pearson Learning Solutions
On Campus,96,9,0,81407,"=""CHM 1045""",General Chemistry I,3,"Davies, K.",Unclassified Material,Chemistry Structure & Properties (PKG)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323140697,2016,Pearson Learning Solutions
On Campus,96,9,0,81407,"=""CHM 1045""",General Chemistry I,3,"Davies, K.",Unclassified Material,Calculations in Chemistry (w/Digital License Access) Edition: 2nd,Dahm,9780393614367,2017,"W. W. Norton & Company, Inc"
On Campus,96,5,0,82921,"=""CHM 1045""",General Chemistry I,3,"Paikoff, S.",Required Material,Chemistry (MstrgChem Access)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323146217,2016,Pearson Learning Solutions
On Campus,96,5,0,82921,"=""CHM 1045""",General Chemistry I,3,"Paikoff, S.",Required Material,Chemistry Structure & Properties (PKG)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323140697,2016,Pearson Learning Solutions
On Campus,96,5,0,82921,"=""CHM 1045""",General Chemistry I,3,"Paikoff, S.",Recommended Material,Chemistry: Structure & Properties Edition: N/A,Tro,9780321834683,2015,Pearson
On Campus,96,5,0,82921,"=""CHM 1045""",General Chemistry I,3,"Paikoff, S.",Unclassified Material,Calculations in Chemistry (w/Digital License Access) Edition: 2nd,Dahm,9780393614367,2017,"W. W. Norton & Company, Inc"
On Campus,96,10,0,82651,"=""CHM 1045""",General Chemistry I,3,"Campbell, I.",Required Material,Chemistry Structure & Properties (PKG)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323140697,2016,Pearson Learning Solutions
On Campus,96,10,0,82651,"=""CHM 1045""",General Chemistry I,3,"Campbell, I.",Unclassified Material,Chemistry (MstrgChem Access)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323146217,2016,Pearson Learning Solutions
On Campus,96,2,0,82733,"=""CHM 1045""",General Chemistry I,3,"Cao, B.",Required Material,Chemistry (MstrgChem Access)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323146217,2016,Pearson Learning Solutions
On Campus,96,2,0,82733,"=""CHM 1045""",General Chemistry I,3,"Cao, B.",Unclassified Material,Chemistry Structure & Properties (PKG)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323140697,2016,Pearson Learning Solutions
On Campus,96,2,0,82733,"=""CHM 1045""",General Chemistry I,3,"Cao, B.",Unclassified Material,Chemistry: Structure & Properties Edition: N/A,Tro,9780321834683,2015,Pearson
Closed,96,0,0,81403,"=""CHM 1045""",General Chemistry I,3,"Deiros, D.",Required Material,Chemistry Structure & Properties (PKG)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323140697,2016,Pearson Learning Solutions
Closed,96,0,0,81403,"=""CHM 1045""",General Chemistry I,3,"Deiros, D.",Unclassified Material,Chemistry: Structure & Properties Edition: N/A,Tro,9780321834683,2015,Pearson
Closed,96,0,0,81403,"=""CHM 1045""",General Chemistry I,3,"Deiros, D.",Unclassified Material,Chemistry (MstrgChem Access)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323146217,2016,Pearson Learning Solutions
Closed,96,0,0,81408,"=""CHM 1045""",General Chemistry I,3,"Sun, H.",Required Material,Chemistry Structure & Properties (PKG)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323140697,2016,Pearson Learning Solutions
Closed,96,0,0,81408,"=""CHM 1045""",General Chemistry I,3,"Sun, H.",Unclassified Material,Chemistry: Structure & Properties Edition: N/A,Tro,9780321834683,2015,Pearson
Closed,96,0,0,81408,"=""CHM 1045""",General Chemistry I,3,"Sun, H.",Unclassified Material,Chemistry (MstrgChem Access)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323146217,2016,Pearson Learning Solutions
On Campus,24,1,0,81385,"=""CHM 1045L""",General Chemistry I Lab,1,"Sun, H.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,1,0,81385,"=""CHM 1045L""",General Chemistry I Lab,1,"Sun, H.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,1,0,81385,"=""CHM 1045L""",General Chemistry I Lab,1,"Sun, H.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
Closed,24,0,0,81386,"=""CHM 1045L""",General Chemistry I Lab,1,"Sun, H.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
Closed,24,0,0,81386,"=""CHM 1045L""",General Chemistry I Lab,1,"Sun, H.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
Closed,24,0,0,81386,"=""CHM 1045L""",General Chemistry I Lab,1,"Sun, H.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,3,0,81387,"=""CHM 1045L""",General Chemistry I Lab,1,"Garcia-Fernandez, R.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,3,0,81387,"=""CHM 1045L""",General Chemistry I Lab,1,"Garcia-Fernandez, R.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,3,0,81387,"=""CHM 1045L""",General Chemistry I Lab,1,"Garcia-Fernandez, R.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,1,0,81388,"=""CHM 1045L""",General Chemistry I Lab,1,"Paikoff, S.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,1,0,81388,"=""CHM 1045L""",General Chemistry I Lab,1,"Paikoff, S.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,1,0,81388,"=""CHM 1045L""",General Chemistry I Lab,1,"Paikoff, S.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,1,0,81389,"=""CHM 1045L""",General Chemistry I Lab,1,"Brumfield, D.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,1,0,81389,"=""CHM 1045L""",General Chemistry I Lab,1,"Brumfield, D.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,1,0,81389,"=""CHM 1045L""",General Chemistry I Lab,1,"Brumfield, D.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,2,0,81390,"=""CHM 1045L""",General Chemistry I Lab,1,"Brumfield, D.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,2,0,81390,"=""CHM 1045L""",General Chemistry I Lab,1,"Brumfield, D.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,2,0,81390,"=""CHM 1045L""",General Chemistry I Lab,1,"Brumfield, D.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
Closed,24,0,0,81391,"=""CHM 1045L""",General Chemistry I Lab,1,"Dhumal, N.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
Closed,24,0,0,81391,"=""CHM 1045L""",General Chemistry I Lab,1,"Dhumal, N.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
Closed,24,0,0,81391,"=""CHM 1045L""",General Chemistry I Lab,1,"Dhumal, N.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,4,0,81392,"=""CHM 1045L""",General Chemistry I Lab,1,"Dhumal, N.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,4,0,81392,"=""CHM 1045L""",General Chemistry I Lab,1,"Dhumal, N.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,4,0,81392,"=""CHM 1045L""",General Chemistry I Lab,1,"Dhumal, N.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,3,0,81393,"=""CHM 1045L""",General Chemistry I Lab,1,"Zalessov, V.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,3,0,81393,"=""CHM 1045L""",General Chemistry I Lab,1,"Zalessov, V.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,3,0,81393,"=""CHM 1045L""",General Chemistry I Lab,1,"Zalessov, V.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
Closed,24,0,0,81394,"=""CHM 1045L""",General Chemistry I Lab,1,"Zhang, X.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
Closed,24,0,0,81394,"=""CHM 1045L""",General Chemistry I Lab,1,"Zhang, X.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
Closed,24,0,0,81394,"=""CHM 1045L""",General Chemistry I Lab,1,"Zhang, X.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,1,0,81395,"=""CHM 1045L""",General Chemistry I Lab,1,"Stephenson, G.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,1,0,81395,"=""CHM 1045L""",General Chemistry I Lab,1,"Stephenson, G.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,1,0,81395,"=""CHM 1045L""",General Chemistry I Lab,1,"Stephenson, G.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
Closed,24,0,0,81396,"=""CHM 1045L""",General Chemistry I Lab,1,"Cao, B.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
Closed,24,0,0,81396,"=""CHM 1045L""",General Chemistry I Lab,1,"Cao, B.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
Closed,24,0,0,81396,"=""CHM 1045L""",General Chemistry I Lab,1,"Cao, B.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,2,0,81397,"=""CHM 1045L""",General Chemistry I Lab,1,"Adl, T.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,2,0,81397,"=""CHM 1045L""",General Chemistry I Lab,1,"Adl, T.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,2,0,81397,"=""CHM 1045L""",General Chemistry I Lab,1,"Adl, T.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
Closed,24,0,0,81398,"=""CHM 1045L""",General Chemistry I Lab,1,"Chapman, C.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
Closed,24,0,0,81398,"=""CHM 1045L""",General Chemistry I Lab,1,"Chapman, C.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
Closed,24,0,0,81398,"=""CHM 1045L""",General Chemistry I Lab,1,"Chapman, C.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
Closed,24,0,0,81399,"=""CHM 1045L""",General Chemistry I Lab,1,"Brumfield, D.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
Closed,24,0,0,81399,"=""CHM 1045L""",General Chemistry I Lab,1,"Brumfield, D.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
Closed,24,0,0,81399,"=""CHM 1045L""",General Chemistry I Lab,1,"Brumfield, D.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,2,0,81400,"=""CHM 1045L""",General Chemistry I Lab,1,"Brumfield, D.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,2,0,81400,"=""CHM 1045L""",General Chemistry I Lab,1,"Brumfield, D.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,2,0,81400,"=""CHM 1045L""",General Chemistry I Lab,1,"Brumfield, D.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,2,0,81401,"=""CHM 1045L""",General Chemistry I Lab,1,"Sun, H.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,2,0,81401,"=""CHM 1045L""",General Chemistry I Lab,1,"Sun, H.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,2,0,81401,"=""CHM 1045L""",General Chemistry I Lab,1,"Sun, H.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,3,0,81402,"=""CHM 1045L""",General Chemistry I Lab,1,"Zalessov, V.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,3,0,81402,"=""CHM 1045L""",General Chemistry I Lab,1,"Zalessov, V.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,3,0,81402,"=""CHM 1045L""",General Chemistry I Lab,1,"Zalessov, V.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,1,0,82652,"=""CHM 1045L""",General Chemistry I Lab,1,"Dhumal, N.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,1,0,82652,"=""CHM 1045L""",General Chemistry I Lab,1,"Dhumal, N.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,1,0,82652,"=""CHM 1045L""",General Chemistry I Lab,1,"Dhumal, N.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
Closed,24,0,0,82922,"=""CHM 1045L""",General Chemistry I Lab,1,"Chapman, A.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
Closed,24,0,0,82922,"=""CHM 1045L""",General Chemistry I Lab,1,"Chapman, A.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
Closed,24,0,0,82922,"=""CHM 1045L""",General Chemistry I Lab,1,"Chapman, A.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,1,0,82923,"=""CHM 1045L""",General Chemistry I Lab,1,"Paikoff, S.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,1,0,82923,"=""CHM 1045L""",General Chemistry I Lab,1,"Paikoff, S.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,1,0,82923,"=""CHM 1045L""",General Chemistry I Lab,1,"Paikoff, S.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,2,0,82949,"=""CHM 1045L""",General Chemistry I Lab,1,"Zalessov, V.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,2,0,82949,"=""CHM 1045L""",General Chemistry I Lab,1,"Zalessov, V.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,2,0,82949,"=""CHM 1045L""",General Chemistry I Lab,1,"Zalessov, V.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
Closed,24,0,0,82950,"=""CHM 1045L""",General Chemistry I Lab,1,"Chapman, A.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
Closed,24,0,0,82950,"=""CHM 1045L""",General Chemistry I Lab,1,"Chapman, A.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
Closed,24,0,0,82950,"=""CHM 1045L""",General Chemistry I Lab,1,"Chapman, A.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,2,0,81375,"=""CHM 1045L""",General Chemistry I Lab,1,"Paikoff, S.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,2,0,81375,"=""CHM 1045L""",General Chemistry I Lab,1,"Paikoff, S.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,2,0,81375,"=""CHM 1045L""",General Chemistry I Lab,1,"Paikoff, S.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,2,0,81378,"=""CHM 1045L""",General Chemistry I Lab,1,"Adl, T.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,2,0,81378,"=""CHM 1045L""",General Chemistry I Lab,1,"Adl, T.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,2,0,81378,"=""CHM 1045L""",General Chemistry I Lab,1,"Adl, T.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
On Campus,24,3,0,81379,"=""CHM 1045L""",General Chemistry I Lab,1,"Adl, T.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
On Campus,24,3,0,81379,"=""CHM 1045L""",General Chemistry I Lab,1,"Adl, T.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,24,3,0,81379,"=""CHM 1045L""",General Chemistry I Lab,1,"Adl, T.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
Closed,24,0,0,81384,"=""CHM 1045L""",General Chemistry I Lab,1,"Adl, T.",Required Material,GOGGLE UVEX #S3970DF OVER GLASSES Edition: N/A,,,NA,
Closed,24,0,0,81384,"=""CHM 1045L""",General Chemistry I Lab,1,"Adl, T.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
Closed,24,0,0,81384,"=""CHM 1045L""",General Chemistry I Lab,1,"Adl, T.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
Closed,62,-1,0,81368,"=""CHM 1046""",General Chemistry II,3,"Dhumal, N.",Required Material,Chemistry (MstrgChem Access)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323146217,2016,Pearson Learning Solutions
On Campus,96,4,0,82739,"=""CHM 1046""",General Chemistry II,3,"Sheng, Y.",Required Material,Chemistry Structure & Properties (PKG)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323140697,2016,Pearson Learning Solutions
On Campus,96,4,0,82739,"=""CHM 1046""",General Chemistry II,3,"Sheng, Y.",Unclassified Material,Chemistry (MstrgChem Access)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323146217,2016,Pearson Learning Solutions
On Campus,96,3,0,81370,"=""CHM 1046""",General Chemistry II,3,"Campbell, R.",Required Material,CALC TI30XIIS DUEL PWR SCIENTF Edition: N/A,,,NA,
On Campus,96,3,0,81370,"=""CHM 1046""",General Chemistry II,3,"Campbell, R.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
On Campus,96,3,0,81370,"=""CHM 1046""",General Chemistry II,3,"Campbell, R.",Required Material,Chemistry Structure & Properties (PKG)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323140697,2016,Pearson Learning Solutions
On Campus,96,3,0,81370,"=""CHM 1046""",General Chemistry II,3,"Campbell, R.",Unclassified Material,Chemistry: Structure & Properties Edition: N/A,Tro,9780321834683,2015,Pearson
On Campus,96,3,0,81370,"=""CHM 1046""",General Chemistry II,3,"Campbell, R.",Unclassified Material,Chemistry (MstrgChem Access)(FGCU)(CUSTOM) Edition: N/A,Tro,9781323146217,2016,Pearson Learning Solutions
Closed,24,0,0,81364,"=""CHM 1046L""",General Chemistry II Lab,1,"Brumfield, D.",Required Material,CALC TI30XS MULTI VIEW Edition: N/A,,,NA,
Closed,24,0,0,81364,"=""CHM 1046L""",General Chemistry II Lab,1,"Brumfield, D.",Required Material,Quad Ruled Notebook Edition: N/A,,,NA,
Closed,38,-1,10,82515,"=""CHM 1084C""",Environmental Chemistry,4,"Adhikari, P.",Required Material,Prin of Environmental Chemistry (w/out Access Code) Edition: 3rd,Girard,9781449650155,2014,Jones & Bartlett Learning
On Campus,30,5,0,81336,"=""CHM 2210""",Organic Chemistry I,3,"Zhang, X.",Required Material,ACS Organic Chemistry Exams: Official Gde Edition: N/A,Amer Chemical Society,9780970804211,2002,American Chemical Society Exam Institute
